File name	m013_cohortC_BEEG12_day1.kcd
Result analysis file name	m013_cohortC_BEEG12_day1_2p.raf
Subject	m013_cohortC_03_22_2
Gender	
Age
Memo
Free comment 1	Patient identificati	
Free comment 2	Recording identifica	
Free comment 3	Start time	03/23/2021 13:16:43
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

Time	Epoch No.	Stage		
3/23/2021 13:26:11	142	NR	0	
3/23/2021 13:26:15	143	NR	0	
3/23/2021 13:26:19	144	NR	0	
3/23/2021 13:26:23	145	NR	0	
3/23/2021 13:26:27	146	NR	0	
3/23/2021 13:26:31	147	NR	0	
3/23/2021 13:26:35	148	NR	0	
3/23/2021 13:26:39	149	NR	0	
3/23/2021 13:26:43	150	NR	0	
3/23/2021 13:26:47	151	NR	0	
3/23/2021 13:26:51	152	NR	0	
3/23/2021 13:26:55	153	NR	0	
3/23/2021 13:26:59	154	NR	0	
3/23/2021 13:27:03	155	NR	0	
3/23/2021 13:27:07	156	NR	0	
3/23/2021 13:27:11	157	NR	0	
3/23/2021 13:27:15	158	NR	0	
3/23/2021 13:27:19	159	NR	0	
3/23/2021 13:27:23	160	NR	0	
3/23/2021 13:27:27	161	NR	0	
3/23/2021 13:27:31	162	NR	0	
3/23/2021 13:27:35	163	NR	0	
3/23/2021 13:27:39	164	NR	0	
3/23/2021 13:27:43	165	NR	0	
3/23/2021 13:27:47	166	NR	0	
3/23/2021 13:27:51	167	NR	0	
3/23/2021 13:27:55	168	W	0	
3/23/2021 13:27:59	169	W	0	
3/23/2021 13:28:03	170	W	0	
3/23/2021 13:28:07	171	W	0	
3/23/2021 13:28:11	172	W	0	
3/23/2021 13:28:15	173	W	0	
3/23/2021 13:28:19	174	W	0	
3/23/2021 13:28:23	175	W	0	
3/23/2021 13:28:27	176	W	0	
3/23/2021 13:28:31	177	W	0	
3/23/2021 13:28:35	178	W	0	
3/23/2021 13:28:39	179	W	0	
3/23/2021 13:28:43	180	W	0	
3/23/2021 13:28:47	181	W	0	
3/23/2021 13:28:51	182	W	0	
3/23/2021 13:28:55	183	W	0	
3/23/2021 13:28:59	184	W	0	
3/23/2021 13:29:03	185	W	0	
3/23/2021 13:29:07	186	W	0	
3/23/2021 13:29:11	187	W	0	
3/23/2021 13:29:15	188	W	0	
3/23/2021 13:29:19	189	W	0	
3/23/2021 13:29:23	190	W	0	
3/23/2021 13:29:27	191	W	0	
3/23/2021 13:29:31	192	W	0	
3/23/2021 13:29:35	193	W	0	
3/23/2021 13:29:39	194	W	0	
3/23/2021 13:29:43	195	W	0	
3/23/2021 13:29:47	196	W	0	
3/23/2021 13:29:51	197	W	0	
3/23/2021 13:29:55	198	W	0	
3/23/2021 13:29:59	199	W	0	
3/23/2021 13:30:03	200	W	0	
3/23/2021 13:30:07	201	W	0	
3/23/2021 13:30:11	202	W	0	
3/23/2021 13:30:15	203	W	0	
3/23/2021 13:30:19	204	W	0	
3/23/2021 13:30:23	205	W	0	
3/23/2021 13:30:27	206	W	0	
3/23/2021 13:30:31	207	W	0	
3/23/2021 13:30:35	208	W	0	
3/23/2021 13:30:39	209	W	0	
3/23/2021 13:30:43	210	W	0	
3/23/2021 13:30:47	211	W	0	
3/23/2021 13:30:51	212	W	0	
3/23/2021 13:30:55	213	W	0	
3/23/2021 13:30:59	214	W	0	
3/23/2021 13:31:03	215	W	0	
3/23/2021 13:31:07	216	W	0	
3/23/2021 13:31:11	217	W	0	
3/23/2021 13:31:15	218	W	0	
3/23/2021 13:31:19	219	W	0	
3/23/2021 13:31:23	220	W	0	
3/23/2021 13:31:27	221	W	0	
3/23/2021 13:31:31	222	W	0	
3/23/2021 13:31:35	223	W	0	
3/23/2021 13:31:39	224	W	0	
3/23/2021 13:31:43	225	W	0	
3/23/2021 13:31:47	226	W	0	
3/23/2021 13:31:51	227	W	0	
3/23/2021 13:31:55	228	W	0	
3/23/2021 13:31:59	229	W	0	
3/23/2021 13:32:03	230	W	0	
3/23/2021 13:32:07	231	W	0	
3/23/2021 13:32:11	232	W	0	
3/23/2021 13:32:15	233	W	0	
3/23/2021 13:32:19	234	NR	0	
3/23/2021 13:32:23	235	NR	0	
3/23/2021 13:32:27	236	NR	0	
3/23/2021 13:32:31	237	NR	0	
3/23/2021 13:32:35	238	NR	0	
3/23/2021 13:32:39	239	NR	0	
3/23/2021 13:32:43	240	NR	0	
3/23/2021 13:32:47	241	NR	0	
3/23/2021 13:32:51	242	NR	0	
3/23/2021 13:32:55	243	NR	0	
3/23/2021 13:32:59	244	NR	0	
3/23/2021 13:33:03	245	NR	0	
3/23/2021 13:33:07	246	NR	0	
3/23/2021 13:33:11	247	W	0	
3/23/2021 13:33:15	248	W	0	
3/23/2021 13:33:19	249	NR	0	
3/23/2021 13:33:23	250	NR	0	
3/23/2021 13:33:27	251	NR	0	
3/23/2021 13:33:31	252	NR	0	
3/23/2021 13:33:35	253	NR	0	
3/23/2021 13:33:39	254	NR	0	
3/23/2021 13:33:43	255	W	0	
3/23/2021 13:33:47	256	W	0	
3/23/2021 13:33:51	257	NR	0	
3/23/2021 13:33:55	258	NR	0	
3/23/2021 13:33:59	259	NR	0	
3/23/2021 13:34:03	260	NR	0	
3/23/2021 13:34:07	261	NR	0	
3/23/2021 13:34:11	262	NR	0	
3/23/2021 13:34:15	263	NR	0	
3/23/2021 13:34:19	264	NR	0	
3/23/2021 13:34:23	265	NR	0	
3/23/2021 13:34:27	266	NR	0	
3/23/2021 13:34:31	267	NR	0	
3/23/2021 13:34:35	268	NR	0	
3/23/2021 13:34:39	269	NR	0	
3/23/2021 13:34:43	270	W	0	
3/23/2021 13:34:47	271	W	0	
3/23/2021 13:34:51	272	NR	0	
3/23/2021 13:34:55	273	NR	0	
3/23/2021 13:34:59	274	NR	0	
3/23/2021 13:35:03	275	NR	0	
3/23/2021 13:35:07	276	NR	0	
3/23/2021 13:35:11	277	NR	0	
3/23/2021 13:35:15	278	NR	0	
3/23/2021 13:35:19	279	NR	0	
3/23/2021 13:35:23	280	NR	0	
3/23/2021 13:35:27	281	NR	0	
3/23/2021 13:35:31	282	NR	0	
3/23/2021 13:35:35	283	NR	0	
3/23/2021 13:35:39	284	NR	0	
3/23/2021 13:35:43	285	W	0	
3/23/2021 13:35:47	286	W	0	
3/23/2021 13:35:51	287	W	0	
3/23/2021 13:35:55	288	W	0	
3/23/2021 13:35:59	289	NR	0	
3/23/2021 13:36:03	290	NR	0	
3/23/2021 13:36:07	291	NR	0	
3/23/2021 13:36:11	292	NR	0	
3/23/2021 13:36:15	293	NR	0	
3/23/2021 13:36:19	294	W	0	
3/23/2021 13:36:23	295	W	0	
3/23/2021 13:36:27	296	NR	0	
3/23/2021 13:36:31	297	NR	0	
3/23/2021 13:36:35	298	NR	0	
3/23/2021 13:36:39	299	NR	0	
3/23/2021 13:36:43	300	NR	0	
3/23/2021 13:36:47	301	NR	0	
3/23/2021 13:36:51	302	NR	0	
3/23/2021 13:36:55	303	NR	0	
3/23/2021 13:36:59	304	W	0	
3/23/2021 13:37:03	305	W	0	
3/23/2021 13:37:07	306	NR	0	
3/23/2021 13:37:11	307	NR	0	
3/23/2021 13:37:15	308	NR	0	
3/23/2021 13:37:19	309	NR	0	
3/23/2021 13:37:23	310	NR	0	
3/23/2021 13:37:27	311	NR	0	
3/23/2021 13:37:31	312	NR	0	
3/23/2021 13:37:35	313	NR	0	
3/23/2021 13:37:39	314	NR	0	
3/23/2021 13:37:43	315	NR	0	
3/23/2021 13:37:47	316	NR	0	
3/23/2021 13:37:51	317	NR	0	
3/23/2021 13:37:55	318	NR	0	
3/23/2021 13:37:59	319	NR	0	
3/23/2021 13:38:03	320	NR	0	
3/23/2021 13:38:07	321	NR	0	
3/23/2021 13:38:11	322	NR	0	
3/23/2021 13:38:15	323	NR	0	
3/23/2021 13:38:19	324	NR	0	
3/23/2021 13:38:23	325	NR	0	
3/23/2021 13:38:27	326	NR	0	
3/23/2021 13:38:31	327	NR	0	
3/23/2021 13:38:35	328	NR	0	
3/23/2021 13:38:39	329	NR	0	
3/23/2021 13:38:43	330	NR	0	
3/23/2021 13:38:47	331	NR	0	
3/23/2021 13:38:51	332	NR	0	
3/23/2021 13:38:55	333	NR	0	
3/23/2021 13:38:59	334	W	0	
3/23/2021 13:39:03	335	W	0	
3/23/2021 13:39:07	336	W	0	
3/23/2021 13:39:11	337	W	0	
3/23/2021 13:39:15	338	W	0	
3/23/2021 13:39:19	339	W	0	
3/23/2021 13:39:23	340	NR	0	
3/23/2021 13:39:27	341	NR	0	
3/23/2021 13:39:31	342	NR	0	
3/23/2021 13:39:35	343	W	0	
3/23/2021 13:39:39	344	W	0	
3/23/2021 13:39:43	345	NR	0	
3/23/2021 13:39:47	346	NR	0	
3/23/2021 13:39:51	347	NR	0	
3/23/2021 13:39:55	348	NR	0	
3/23/2021 13:39:59	349	NR	0	
3/23/2021 13:40:03	350	W	0	
3/23/2021 13:40:07	351	W	0	
3/23/2021 13:40:11	352	W	0	
3/23/2021 13:40:15	353	W	0	
3/23/2021 13:40:19	354	W	0	
3/23/2021 13:40:23	355	NR	0	
3/23/2021 13:40:27	356	NR	0	
3/23/2021 13:40:31	357	NR	0	
3/23/2021 13:40:35	358	NR	0	
3/23/2021 13:40:39	359	NR	0	
3/23/2021 13:40:43	360	W	0	
3/23/2021 13:40:47	361	W	0	
3/23/2021 13:40:51	362	W	0	
3/23/2021 13:40:55	363	W	0	
