File name	m013_cohortD_BEEG13_day1.kcd
Result analysis file name	m013_cohortD_BEEG13_day1_2p.raf
Subject	m013_cohortD_04_19_2
Gender	
Age
Memo
Free comment 1	Patient identificati	
Free comment 2	Recording identifica	
Free comment 3	Start time	04/20/2021 11:13:46
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

Time	Epoch No.	Stage		
4/20/2021 11:23:42	149	W	0	
4/20/2021 11:23:46	150	W	0	
4/20/2021 11:23:50	151	W	0	
4/20/2021 11:23:54	152	W	0	
4/20/2021 11:23:58	153	W	0	
4/20/2021 11:24:02	154	W	0	
4/20/2021 11:24:06	155	W	0	
4/20/2021 11:24:10	156	W	0	
4/20/2021 11:24:14	157	W	0	
4/20/2021 11:24:18	158	W	0	
4/20/2021 11:24:22	159	W	0	
4/20/2021 11:24:26	160	W	0	
4/20/2021 11:24:30	161	W	0	
4/20/2021 11:24:34	162	W	0	
4/20/2021 11:24:38	163	W	0	
4/20/2021 11:24:42	164	W	0	
4/20/2021 11:24:46	165	W	0	
4/20/2021 11:24:50	166	W	0	
4/20/2021 11:24:54	167	W	0	
4/20/2021 11:24:58	168	W	0	
4/20/2021 11:25:02	169	W	0	
4/20/2021 11:25:06	170	W	0	
4/20/2021 11:25:10	171	W	0	
4/20/2021 11:25:14	172	W	0	
4/20/2021 11:25:18	173	W	0	
4/20/2021 11:25:22	174	W	0	
4/20/2021 11:25:26	175	W	0	
4/20/2021 11:25:30	176	W	0	
4/20/2021 11:25:34	177	W	0	
4/20/2021 11:25:38	178	W	0	
4/20/2021 11:25:42	179	W	0	
4/20/2021 11:25:46	180	W	0	
4/20/2021 11:25:50	181	W	0	
4/20/2021 11:25:54	182	W	0	
4/20/2021 11:25:58	183	W	0	
4/20/2021 11:26:02	184	W	0	
4/20/2021 11:26:06	185	W	0	
4/20/2021 11:26:10	186	W	0	
4/20/2021 11:26:14	187	W	0	
4/20/2021 11:26:18	188	W	0	
4/20/2021 11:26:22	189	W	0	
4/20/2021 11:26:26	190	W	0	
4/20/2021 11:26:30	191	W	0	
4/20/2021 11:26:34	192	W	0	
4/20/2021 11:26:38	193	W	0	
4/20/2021 11:26:42	194	W	0	
4/20/2021 11:26:46	195	W	0	
4/20/2021 11:26:50	196	W	0	
4/20/2021 11:26:54	197	W	0	
4/20/2021 11:26:58	198	W	0	
4/20/2021 11:27:02	199	W	0	
4/20/2021 11:27:06	200	W	0	
4/20/2021 11:27:10	201	W	0	
4/20/2021 11:27:14	202	W	0	
4/20/2021 11:27:18	203	W	0	
4/20/2021 11:27:22	204	W	0	
4/20/2021 11:27:26	205	W	0	
4/20/2021 11:27:30	206	W	0	
4/20/2021 11:27:34	207	W	0	
4/20/2021 11:27:38	208	W	0	
4/20/2021 11:27:42	209	W	0	
4/20/2021 11:27:46	210	W	0	
4/20/2021 11:27:50	211	W	0	
4/20/2021 11:27:54	212	W	0	
4/20/2021 11:27:58	213	W	0	
4/20/2021 11:28:02	214	W	0	
4/20/2021 11:28:06	215	W	0	
4/20/2021 11:28:10	216	W	0	
4/20/2021 11:28:14	217	W	0	
4/20/2021 11:28:18	218	W	0	
4/20/2021 11:28:22	219	W	0	
4/20/2021 11:28:26	220	W	0	
4/20/2021 11:28:30	221	W	0	
4/20/2021 11:28:34	222	W	0	
4/20/2021 11:28:38	223	W	0	
4/20/2021 11:28:42	224	W	0	
4/20/2021 11:28:46	225	W	0	
4/20/2021 11:28:50	226	W	0	
4/20/2021 11:28:54	227	W	0	
4/20/2021 11:28:58	228	W	0	
4/20/2021 11:29:02	229	W	0	
4/20/2021 11:29:06	230	W	0	
4/20/2021 11:29:10	231	W	0	
4/20/2021 11:29:14	232	W	0	
4/20/2021 11:29:18	233	W	0	
4/20/2021 11:29:22	234	W	0	
4/20/2021 11:29:26	235	W	0	
4/20/2021 11:29:30	236	W	0	
4/20/2021 11:29:34	237	W	0	
4/20/2021 11:29:38	238	W	0	
4/20/2021 11:29:42	239	W	0	
4/20/2021 11:29:46	240	W	0	
4/20/2021 11:29:50	241	W	0	
4/20/2021 11:29:54	242	W	0	
4/20/2021 11:29:58	243	W	0	
4/20/2021 11:30:02	244	W	0	
4/20/2021 11:30:06	245	W	0	
4/20/2021 11:30:10	246	W	0	
4/20/2021 11:30:14	247	W	0	
4/20/2021 11:30:18	248	W	0	
4/20/2021 11:30:22	249	W	0	
4/20/2021 11:30:26	250	W	0	
4/20/2021 11:30:30	251	W	0	
4/20/2021 11:30:34	252	W	0	
4/20/2021 11:30:38	253	W	0	
4/20/2021 11:30:42	254	W	0	
4/20/2021 11:30:46	255	W	0	
4/20/2021 11:30:50	256	W	0	
4/20/2021 11:30:54	257	W	0	
4/20/2021 11:30:58	258	W	0	
4/20/2021 11:31:02	259	W	0	
4/20/2021 11:31:06	260	W	0	
4/20/2021 11:31:10	261	W	0	
4/20/2021 11:31:14	262	W	0	
4/20/2021 11:31:18	263	W	0	
4/20/2021 11:31:22	264	W	0	
4/20/2021 11:31:26	265	W	0	
4/20/2021 11:31:30	266	W	0	
4/20/2021 11:31:34	267	W	0	
4/20/2021 11:31:38	268	W	0	
4/20/2021 11:31:42	269	W	0	
4/20/2021 11:31:46	270	W	0	
4/20/2021 11:31:50	271	W	0	
4/20/2021 11:31:54	272	W	0	
4/20/2021 11:31:58	273	W	0	
4/20/2021 11:32:02	274	W	0	
4/20/2021 11:32:06	275	W	0	
4/20/2021 11:32:10	276	W	0	
4/20/2021 11:32:14	277	W	0	
4/20/2021 11:32:18	278	W	0	
4/20/2021 11:32:22	279	W	0	
4/20/2021 11:32:26	280	W	0	
4/20/2021 11:32:30	281	W	0	
4/20/2021 11:32:34	282	W	0	
4/20/2021 11:32:38	283	W	0	
4/20/2021 11:32:42	284	W	0	
4/20/2021 11:32:46	285	W	0	
4/20/2021 11:32:50	286	W	0	
4/20/2021 11:32:54	287	W	0	
4/20/2021 11:32:58	288	W	0	
4/20/2021 11:33:02	289	W	0	
4/20/2021 11:33:06	290	W	0	
4/20/2021 11:33:10	291	W	0	
4/20/2021 11:33:14	292	W	0	
4/20/2021 11:33:18	293	W	0	
4/20/2021 11:33:22	294	W	0	
4/20/2021 11:33:26	295	W	0	
4/20/2021 11:33:30	296	W	0	
4/20/2021 11:33:34	297	W	0	
4/20/2021 11:33:38	298	W	0	
4/20/2021 11:33:42	299	W	0	
4/20/2021 11:33:46	300	W	0	
4/20/2021 11:33:50	301	W	0	
4/20/2021 11:33:54	302	W	0	
4/20/2021 11:33:58	303	W	0	
4/20/2021 11:34:02	304	W	0	
4/20/2021 11:34:06	305	W	0	
4/20/2021 11:34:10	306	W	0	
4/20/2021 11:34:14	307	W	0	
4/20/2021 11:34:18	308	W	0	
4/20/2021 11:34:22	309	W	0	
4/20/2021 11:34:26	310	W	0	
4/20/2021 11:34:30	311	W	0	
4/20/2021 11:34:34	312	W	0	
4/20/2021 11:34:38	313	W	0	
4/20/2021 11:34:42	314	W	0	
4/20/2021 11:34:46	315	W	0	
4/20/2021 11:34:50	316	W	0	
4/20/2021 11:34:54	317	W	0	
4/20/2021 11:34:58	318	W	0	
4/20/2021 11:35:02	319	W	0	
4/20/2021 11:35:06	320	W	0	
4/20/2021 11:35:10	321	W	0	
4/20/2021 11:35:14	322	W	0	
4/20/2021 11:35:18	323	W	0	
4/20/2021 11:35:22	324	W	0	
4/20/2021 11:35:26	325	W	0	
4/20/2021 11:35:30	326	W	0	
4/20/2021 11:35:34	327	W	0	
4/20/2021 11:35:38	328	W	0	
