File name	m013_cohortA_BEEG04_day1.kcd
Result analysis file name	m013_cohortA_BEEG04_day1_2p.raf
Subject	m013_cohortA_01_29_2
Gender	
Age
Memo
Free comment 1	Patient identificati	
Free comment 2	Recording identifica	
Free comment 3	Start time	01/30/2021 13:10:15
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

Time Division(1:00:00) Start(1/30/2021 13:10:15) Channel(BEEG04EEG)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	

Stage	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	
Hz	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	
0.000000	0.000122	0.000101	0.000117	0.000088	0.000127	0.000090	0.000102	0.000095	0.000096	0.000095	0.000094	0.000107	0.000123	0.000097	0.000101	0.000119	0.000097	0.000100	0.000110	0.000138	0.000095	0.000102	0.000115	0.000131	
0.976563	0.000643	0.000517	0.000611	0.000438	0.000643	0.000465	0.000524	0.000463	0.000483	0.000481	0.000503	0.000560	0.000625	0.000486	0.000517	0.000615	0.000519	0.000534	0.000571	0.000675	0.000497	0.000512	0.000577	0.000660	
1.953125	0.000634	0.000509	0.000585	0.000488	0.000579	0.000485	0.000519	0.000473	0.000496	0.000508	0.000535	0.000550	0.000601	0.000515	0.000537	0.000600	0.000616	0.000621	0.000571	0.000668	0.000529	0.000512	0.000537	0.000607	
2.929688	0.000516	0.000472	0.000493	0.000497	0.000462	0.000422	0.000440	0.000404	0.000435	0.000491	0.000448	0.000430	0.000475	0.000472	0.000448	0.000495	0.000585	0.000523	0.000509	0.000567	0.000488	0.000435	0.000438	0.000474	
3.906250	0.000468	0.000533	0.000462	0.000531	0.000458	0.000443	0.000492	0.000455	0.000462	0.000546	0.000423	0.000415	0.000455	0.000463	0.000401	0.000417	0.000531	0.000425	0.000442	0.000440	0.000426	0.000409	0.000389	0.000408	
4.882813	0.000438	0.000466	0.000427	0.000469	0.000404	0.000434	0.000468	0.000472	0.000440	0.000471	0.000405	0.000404	0.000417	0.000409	0.000375	0.000378	0.000433	0.000382	0.000377	0.000389	0.000408	0.000345	0.000357	0.000383	
5.859375	0.000446	0.000402	0.000384	0.000400	0.000371	0.000406	0.000421	0.000414	0.000385	0.000423	0.000384	0.000392	0.000385	0.000376	0.000382	0.000402	0.000398	0.000424	0.000407	0.000392	0.000412	0.000352	0.000353	0.000398	
6.835938	0.000506	0.000394	0.000398	0.000386	0.000395	0.000427	0.000446	0.000425	0.000392	0.000396	0.000375	0.000409	0.000400	0.000368	0.000400	0.000472	0.000392	0.000439	0.000478	0.000421	0.000370	0.000422	0.000352	0.000426	
7.812500	0.000490	0.000361	0.000364	0.000325	0.000386	0.000404	0.000446	0.000428	0.000392	0.000349	0.000358	0.000402	0.000407	0.000299	0.000385	0.000476	0.000308	0.000359	0.000440	0.000349	0.000306	0.000422	0.000287	0.000400	
8.789063	0.000356	0.000272	0.000273	0.000252	0.000308	0.000330	0.000379	0.000367	0.000320	0.000297	0.000315	0.000326	0.000304	0.000228	0.000309	0.000304	0.000215	0.000243	0.000312	0.000236	0.000246	0.000308	0.000198	0.000325	
9.765625	0.000214	0.000178	0.000182	0.000175	0.000202	0.000223	0.000248	0.000257	0.000207	0.000219	0.000230	0.000224	0.000184	0.000164	0.000201	0.000168	0.000156	0.000161	0.000203	0.000161	0.000161	0.000187	0.000124	0.000217	
10.742188	0.000143	0.000115	0.000119	0.000128	0.000123	0.000143	0.000152	0.000152	0.000130	0.000142	0.000143	0.000141	0.000123	0.000122	0.000126	0.000113	0.000111	0.000120	0.000138	0.000122	0.000118	0.000124	0.000091	0.000138	
11.718750	0.000112	0.000090	0.000089	0.000102	0.000088	0.000099	0.000106	0.000104	0.000091	0.000100	0.000103	0.000102	0.000091	0.000097	0.000093	0.000084	0.000090	0.000105	0.000098	0.000093	0.000096	0.000097	0.000078	0.000100	
12.695313	0.000090	0.000075	0.000070	0.000090	0.000072	0.000078	0.000084	0.000080	0.000073	0.000088	0.000079	0.000077	0.000075	0.000075	0.000073	0.000071	0.000079	0.000088	0.000076	0.000074	0.000077	0.000081	0.000067	0.000079	
13.671875	0.000075	0.000064	0.000059	0.000082	0.000063	0.000066	0.000069	0.000066	0.000062	0.000075	0.000066	0.000067	0.000066	0.000066	0.000065	0.000063	0.000075	0.000073	0.000068	0.000064	0.000067	0.000068	0.000059	0.000066	
14.648438	0.000069	0.000055	0.000053	0.000067	0.000053	0.000058	0.000058	0.000058	0.000053	0.000061	0.000057	0.000059	0.000059	0.000059	0.000059	0.000056	0.000073	0.000061	0.000059	0.000062	0.000060	0.000060	0.000051	0.000060	
15.625000	0.000062	0.000052	0.000049	0.000060	0.000049	0.000052	0.000055	0.000052	0.000049	0.000051	0.000052	0.000053	0.000053	0.000051	0.000054	0.000052	0.000066	0.000058	0.000053	0.000054	0.000055	0.000051	0.000048	0.000055	
16.601563	0.000056	0.000049	0.000045	0.000056	0.000047	0.000050	0.000051	0.000047	0.000048	0.000047	0.000048	0.000050	0.000048	0.000047	0.000048	0.000048	0.000055	0.000053	0.000049	0.000052	0.000053	0.000048	0.000044	0.000052	
