File name	m013_cohortA_BEEG03_day1.kcd
Result analysis file name	m013_cohortA_BEEG03_day1_3p.raf
Subject	m013_cohortA_01_29_2
Gender	
Age
Memo
Free comment 1	Patient identificati	
Free comment 2	Recording identifica	
Free comment 3	Start time	01/30/2021 13:10:15
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

Time Division(1:00:00) Start(1/30/2021 13:10:15) Channel(BEEG03EEG)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	

Stage	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	
Hz	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	mV^2	
0.000000	0.000051	0.000037	0.000069	0.000049	0.000065	0.000076	0.000054	0.000004	0.000078	0.000119	0.000129	0.000059	0.000004	0.000026	0.000002	0.000059	0.000004	0.000002	0.000002	0.000004	0.000007	0.000003	0.000002	0.000102	
0.976563	0.000255	0.000178	0.000339	0.000250	0.000334	0.000402	0.000269	0.000028	0.000399	0.000566	0.000638	0.000290	0.000022	0.000118	0.000010	0.000284	0.000018	0.000007	0.000010	0.000021	0.000039	0.000013	0.000013	0.000531	
1.953125	0.000208	0.000175	0.000267	0.000194	0.000269	0.000352	0.000231	0.000035	0.000290	0.000456	0.000519	0.000226	0.000021	0.000109	0.000012	0.000231	0.000019	0.000011	0.000012	0.000018	0.000039	0.000015	0.000015	0.000452	
2.929688	0.000127	0.000122	0.000158	0.000123	0.000158	0.000190	0.000158	0.000018	0.000133	0.000275	0.000321	0.000141	0.000015	0.000079	0.000014	0.000137	0.000015	0.000011	0.000010	0.000013	0.000035	0.000016	0.000015	0.000254	
3.906250	0.000094	0.000068	0.000130	0.000092	0.000112	0.000117	0.000103	0.000012	0.000078	0.000209	0.000230	0.000108	0.000014	0.000075	0.000013	0.000102	0.000011	0.000009	0.000010	0.000011	0.000033	0.000017	0.000014	0.000175	
4.882813	0.000072	0.000049	0.000108	0.000076	0.000094	0.000092	0.000081	0.000016	0.000069	0.000161	0.000194	0.000078	0.000013	0.000057	0.000010	0.000083	0.000010	0.000008	0.000009	0.000011	0.000026	0.000014	0.000012	0.000139	
5.859375	0.000061	0.000041	0.000091	0.000069	0.000082	0.000073	0.000070	0.000019	0.000053	0.000136	0.000157	0.000068	0.000011	0.000040	0.000008	0.000066	0.000009	0.000007	0.000007	0.000010	0.000019	0.000011	0.000009	0.000110	
6.835938	0.000053	0.000044	0.000080	0.000062	0.000065	0.000064	0.000051	0.000017	0.000041	0.000104	0.000134	0.000059	0.000010	0.000055	0.000008	0.000055	0.000010	0.000006	0.000007	0.000009	0.000016	0.000009	0.000007	0.000090	
7.812500	0.000043	0.000032	0.000065	0.000051	0.000051	0.000055	0.000045	0.000013	0.000034	0.000087	0.000111	0.000049	0.000009	0.000098	0.000006	0.000046	0.000012	0.000006	0.000007	0.000008	0.000012	0.000007	0.000005	0.000074	
8.789063	0.000035	0.000019	0.000055	0.000042	0.000043	0.000047	0.000039	0.000009	0.000030	0.000082	0.000092	0.000042	0.000006	0.000065	0.000004	0.000042	0.000010	0.000004	0.000004	0.000006	0.000009	0.000005	0.000003	0.000066	
9.765625	0.000030	0.000017	0.000049	0.000038	0.000038	0.000039	0.000031	0.000005	0.000029	0.000075	0.000082	0.000038	0.000004	0.000031	0.000003	0.000037	0.000005	0.000003	0.000003	0.000004	0.000008	0.000003	0.000002	0.000060	
10.742188	0.000028	0.000016	0.000044	0.000034	0.000035	0.000036	0.000023	0.000003	0.000024	0.000062	0.000071	0.000039	0.000003	0.000034	0.000003	0.000033	0.000003	0.000003	0.000002	0.000003	0.000007	0.000003	0.000002	0.000051	
11.718750	0.000025	0.000018	0.000040	0.000032	0.000032	0.000030	0.000020	0.000002	0.000019	0.000055	0.000071	0.000033	0.000003	0.000034	0.000002	0.000029	0.000002	0.000002	0.000002	0.000002	0.000006	0.000002	0.000002	0.000047	
12.695313	0.000022	0.000016	0.000036	0.000031	0.000030	0.000027	0.000019	0.000003	0.000018	0.000053	0.000063	0.000029	0.000002	0.000030	0.000002	0.000028	0.000002	0.000002	0.000002	0.000002	0.000006	0.000002	0.000001	0.000042	
13.671875	0.000021	0.000015	0.000033	0.000030	0.000028	0.000024	0.000020	0.000003	0.000017	0.000045	0.000058	0.000026	0.000002	0.000017	0.000002	0.000025	0.000001	0.000002	0.000001	0.000002	0.000005	0.000002	0.000001	0.000039	
14.648438	0.000019	0.000012	0.000030	0.000027	0.000025	0.000022	0.000020	0.000004	0.000015	0.000038	0.000055	0.000027	0.000002	0.000019	0.000002	0.000023	0.000001	0.000001	0.000001	0.000001	0.000005	0.000001	0.000001	0.000035	
15.625000	0.000019	0.000011	0.000029	0.000024	0.000024	0.000020	0.000016	0.000002	0.000014	0.000036	0.000051	0.000025	0.000002	0.000023	0.000001	0.000021	0.000001	0.000001	0.000001	0.000001	0.000004	0.000001	0.000001	0.000031	
16.601563	0.000017	0.000011	0.000027	0.000022	0.000022	0.000019	0.000016	0.000002	0.000013	0.000034	0.000047	0.000023	0.000001	0.000019	0.000001	0.000021	0.000001	0.000001	0.000001	0.000001	0.000004	0.000001	0.000001	0.000028	
